req_id,section,requirement,type,weight,owner,compliance,response_location,evidence,notes
R-001,2.1,The supplier shall have delivered at least three finance transformation programmes of comparable scale in the last five years,mandatory,10,Bid Manager,compliant,3.1 Experience,"Three named references cleared: client A 2024, client B 2025, client C 2026",Reference clearance confirmed by account teams
R-002,2.2,The supplier shall provide a named engagement partner available for the full contract term,mandatory,5,Resource Lead,compliant,3.4 Team,Named partner with availability confirmed to Q4 2027,
R-003,2.3,The supplier must hold ISO 27001 certification,mandatory,0,Compliance,compliant,Annex C,Certificate attached,Gate criterion - no score
R-004,3.1,The solution shall deliver a current-state assessment covering process people data and technology,mandatory,15,Solution Lead,compliant,4.1 Approach,Five-lens diagnostic from the assessment method; sample outputs in Annex A,Maps to skill 08 phase 3
R-005,3.2,The supplier shall benchmark the finance function against relevant industry peers,mandatory,10,Solution Lead,compliant,4.2 Benchmarking,APQC and Hackett sourced benchmark library with industry cuts,Cite sources and as-of dates in the response
R-006,3.3,The supplier shall provide a phased transformation roadmap with a quantified business case,mandatory,15,Solution Lead,compliant,4.3 Roadmap,Three-wave roadmap and benefit model; worked example in Annex B,
R-007,3.4,The solution should include AI-enabled process automation recommendations,desirable,10,Solution Lead,partial,4.4 Technology,Agentic finance patterns with human approval gates,"Partial: recommendations only, implementation out of scope in this lot"
R-008,3.5,The supplier shall transfer knowledge to client staff during the engagement,mandatory,5,Delivery Lead,compliant,4.6 Knowledge transfer,Joint working model and handover pack,
R-009,4.1,The supplier shall commit to on-site presence at the client head office for a minimum of three days per week,mandatory,5,Delivery Lead,alternative,4.5 Ways of working,Two days on-site plus co-located workshops at each milestone,Alternative offered - flag for client discussion before submission
R-010,4.2,The supplier shall accept unlimited liability for data breach,mandatory,0,Legal,non-compliant,Annex D,,ESCALATE - route to contract-review skill 07; propose capped liability
R-011,5.1,The supplier shall provide fixed pricing for the assessment phase,mandatory,15,Commercial,compliant,5.1 Price,Fixed price with stated assumptions annex,
R-012,5.2,The supplier should offer outcome-based pricing for the implementation phase,desirable,10,Commercial,partial,5.2 Commercial options,Gainshare option on measurable working capital benefits only,Only where baseline is agreed and client-controllable
R-013,6.1,Responses shall not exceed 40 pages excluding annexes,mandatory,0,Bid Manager,compliant,-,Page count check before submission,Mechanic - disqualifying
R-014,6.2,Responses shall be submitted via the client procurement portal by 17:00 CET on the closing date,mandatory,0,Bid Manager,compliant,-,Portal access confirmed; submission planned 24h early,Mechanic - disqualifying
