id,name,description,pain_point_ids,lens,type,benefit_category,benefit_annual,cost_onetime,cost_run_annual,effort,impact,duration_months,golden_thread_steps,depends_on,owner,wave
INI-01,Master data ownership and cleanse,Assign single owners for supplier and customer master; deduplicate and enforce single system of entry,PP-08,data,Change,cost_avoidance,180000,220000,40000,2,4,4,3.1.2;3.1.5;2.3.4,,Master Data Lead,1
INI-02,No-PO-no-pay enforcement,Enforce requisition policy with system block and exception approval; supplier onboarding to the channel,PP-01,policy,Change,hard,940000,150000,0,2,5,5,2.7.1;2.7.2,INI-01,CPO,1
INI-03,Collections and cash application redesign,Split collections from disputes; behaviour-based dunning ladder; automated remittance capture and matching,PP-05;PP-06,process,Change,working_capital,2900000,380000,60000,3,5,6,3.7.3;3.7.6;3.9.4,,AR Manager,1
INI-04,Intercompany settlement calendar and ownership,Single intercompany owner; agreed settlement calendar; pre-close matching,PP-02,process,Change,productivity,260000,90000,0,2,4,4,1.7.3;1.7.4,,Group Controller,1
INI-05,Single reporting layer and metric definitions,Agreed definitions with owning system of record; integrated reporting layer replacing manual assembly,PP-03;PP-04,data,Add,productivity,1350000,1400000,260000,5,5,12,1.12.1;1.12.2,INI-01,CFO,2
INI-06,Driver-based rolling forecast,Driver model and forecast policy; planning platform; contributor count reduced,PP-07,process,Change,productivity,620000,780000,180000,4,4,9,1.11.7,INI-05,Group FP&A Director,2
INI-07,Journal automation and reconciliation tooling,Automate recurring journals; deploy reconciliation tool with risk-based review,PP-09;PP-10,technology,Change,hard,710000,540000,120000,3,4,8,1.3.1;1.8.1;1.8.3,,Group Controller,2
INI-08,Touchless invoice processing,Straight-through processing for the standard path; exception design and supplier e-invoicing,PP-01,technology,Change,hard,1120000,860000,140000,4,5,10,2.9.2;2.10.1,INI-02,SSC Manager,2
INI-09,Retire duplicate reports,Stop production of reports with no identified consumer,PP-03,process,Stop,productivity,210000,20000,0,1,3,3,1.12.2,INI-05,Head of Reporting,2
INI-10,Finance delivery model move to GBS,Move standardised transactional processes into the GBS model with E2E process ownership,PP-01;PP-02;PP-05,people,Add,hard,2400000,3100000,420000,5,5,18,2.11.1;3.9.4,INI-03;INI-08,CFO,3
