thread,thread_name,section,section_title,step,step_title,title_source,process_area,assessment_l2,modal_captured
RTR,Record-to-Report,1.1,Accounting Policy Maintenance,1.1.1,Establish and Maintain Accounting Policies,prototype,R2R,H2,
RTR,Record-to-Report,1.1,Accounting Policy Maintenance,1.1.2,Publish Accounting Policies,prototype,R2R,H2,
RTR,Record-to-Report,1.1,Accounting Policy Maintenance,1.1.3,Set and Enforce Approval Limits,prototype,R2R,H2,
RTR,Record-to-Report,1.2,GL and Reporting System Maintenance,1.2.1,Maintain Chart of Accounts,prototype,R2R,B1,
RTR,Record-to-Report,1.2,GL and Reporting System Maintenance,1.2.2,Maintain Reporting Structures,prototype,R2R,B1,
RTR,Record-to-Report,1.2,GL and Reporting System Maintenance,1.2.3,Maintain Subsidiary Ledger Interfaces,prototype,R2R,B1,
RTR,Record-to-Report,1.2,GL and Reporting System Maintenance,1.2.4,Maintain Financial Calendars and Periods,prototype,R2R,B1,
RTR,Record-to-Report,1.2,GL and Reporting System Maintenance,1.2.5,Maintain Overhead Allocations,prototype,R2R,B1,
RTR,Record-to-Report,1.3,Journal Entry Processing,1.3.1,Prepare and Enter Journal Entries,prototype,R2R,B1,
RTR,Record-to-Report,1.3,Journal Entry Processing,1.3.2,Review and Approve Journal Entries,prototype,R2R,B1,
RTR,Record-to-Report,1.3,Journal Entry Processing,1.3.3,Post Approved Journal Entries to the General Ledger,prototype,R2R,B1,
RTR,Record-to-Report,1.3,Journal Entry Processing,1.3.4,"Identify, Correct, and Reprocess Erroneous or Rejected Journal Entries",prototype,R2R,B1,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.1,Process Inventory Transactions,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.2,Review and Update Inventory Standard Costs,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.3,Review and Update Inventory Valuation Reserves,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.4,Reconcile Inventory Subledger to General Ledger and Support Physical Inventory Counts,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.5,"Perform Cost Variance Analysis, Investigate Variances, and Recommend Corrective Actions",prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.6,Generate Inventory Reporting and Perform Detailed Profitability and Margin Analysis,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.7,Manage Inventory Write-Downs and Ensure Compliance with Accounting Policies,prototype,Inventory,A4,
RTR,Record-to-Report,1.4,Cost and Inventory Accounting,1.4.8,Perform Profit Center Accounting,prototype,Inventory,A4,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.1,Establish Fixed Assets Policies and Procedures,prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.2,Maintain Fixed Assets Master Data Files,prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.3,"Process Fixed Assets Additions, Transfers, and Retirements",prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.4,"Process and Record Fixed Assets Adjustments, Enhancements, and Revaluations",prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.5,Process and Record Fixed Assets Maintenance and Repair Expenses,prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.6,Calculate and Record Depreciation Expense,prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.7,Maintain Asset Tax Books,prototype,R2R,B3,
RTR,Record-to-Report,1.5,Fixed Assets Accounting,1.5.8,Physical Verification of Fixed Assets,prototype,R2R,B3,
RTR,Record-to-Report,1.6,Project Accounting,1.6.1,Create Project Account Codes,prototype,ProjectAcct,A4,
RTR,Record-to-Report,1.6,Project Accounting,1.6.2,Record Project-Related Transactions,prototype,ProjectAcct,A4,
RTR,Record-to-Report,1.6,Project Accounting,1.6.3,"Monitor Project Costs, Revenues, and Financial Performance Against Budgets",prototype,ProjectAcct,A4,
RTR,Record-to-Report,1.6,Project Accounting,1.6.4,"Perform Project Forecasting, Variance Analysis, and Financial Reporting",prototype,ProjectAcct,A4,
RTR,Record-to-Report,1.6,Project Accounting,1.6.5,Close and Capitalize Projects,prototype,ProjectAcct,A4,
RTR,Record-to-Report,1.6,Project Accounting,1.6.6,"Monitor, Analyze, and Report Project Information",prototype,ProjectAcct,A4,
