id,process,step,process_area,observation,evidence,quantum,immediate_cause,root_cause,lens,secondary_lens,pain_dimension,persona,severity,frequency,effort,owner_confirmed,theme,initiative_id
PP-01,C3,2.10.1,,38% of supplier invoices require manual intervention,AP system exception report Jan-Jun 2026,159600 invoices per year,Invoice arrives with no PO reference,Requisition policy not enforced; buying outside the channel carries no consequence,policy,process,cycle_time,,4,5,2,CPO,Exception as the norm,INI-02
PP-02,B4,1.7.4,R2R,Close takes 9 days against a 6.4-day median,Close calendar Jan-Jun 2026,4 of 9 days spent on intercompany,Intercompany differences identified late in the cycle,No agreed intercompany settlement calendar and no single owner,process,policy,control_risk,Mara Santos,4,5,3,Group Controller,Ownership vacuum at hand-offs,INI-04
PP-03,A3,1.12.2,FA&IA,Three competing versions of revenue by region circulate,Reporting inventory workshop 12 May 2026,3 versions across 3 functions,Each function builds its own extract,No agreed metric definition and no owning system of record,data,policy,decision_quality,Priya Iyengar,5,5,3,CFO,Data debt paid downstream,INI-05
PP-04,A3,1.12.1,FA&IA,Analysts spend 70% of the month preparing data,Time survey of 14 analysts May 2026,~9.8 FTE-equivalent on data preparation,Data pulled and cleansed by hand from two ERPs,Reporting layer requires manual assembly; no integrated data model,technology,data,scalability,Priya Iyengar,4,5,4,Head of Reporting,Shadow finance,INI-05
PP-05,D5,3.9.4,OTC,Cash application backlog of 11 days,AR ageing and cash application log June 2026,11 days average backlog,Remittances arrive in a shared mailbox and are matched by hand,Role never redesigned after the bank changed remittance format,people,technology,cycle_time,Aiko Tanaka,3,5,2,AR Manager,Shadow finance,INI-03
PP-06,D4,3.7.6,OTC,DSO of 47 days against a 30-day top quartile,AR ageing June 2026,17 days above top quartile,No behaviour-based dunning; collectors also handle disputes,Collections not designed as a distinct role with a defined ladder,process,people,cycle_time,Aiko Tanaka,4,5,3,AR Manager,Exception as the norm,INI-03
PP-07,A2,1.11.7,PPAR,Forecast cycle takes 6 weeks and is bottom-up only,FP&A cycle review April 2026,6 weeks per cycle; 14 contributors,Every cost centre forecasts every line,No driver-based model or forecast policy,process,technology,decision_quality,Priya Iyengar,3,4,4,Group FP&A Director,Control by inspection,INI-06
PP-08,C1,2.3.4,,Supplier master duplicates across two ERPs,Master data extract June 2026,1240 suspected duplicates,No single system of entry for supplier records,Master data ownership never assigned after the 2023 acquisition,data,policy,data_quality,,4,4,3,Master Data Lead,Data debt paid downstream,INI-01
PP-09,B1,1.3.1,R2R,Manual journals make up 39% of all postings,GL source analysis FY25,~46000 manual journals per year,Recurring entries posted by hand each month,No journal automation standard; upload templates unmanaged,process,technology,scalability,Devon Park,4,5,2,Group Controller,Control by inspection,INI-07
PP-10,B4,1.8.1,R2R,Balance sheet reconciliations prepared in Excel,Reconciliation sample review June 2026,410 reconciliations per month,No reconciliation tool; review by email,Control designed as detective inspection rather than prevention at source,technology,policy,control_risk,Devon Park,4,5,3,Group Controller,Control by inspection,INI-07
